HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season
Bournemouth,Aston Villa,0,1,A,0,0,D,2015-16
Chelsea,Swansea,2,2,D,2,1,H,2015-16
Everton,Watford,2,2,D,0,1,A,2015-16
Leicester,Sunderland,4,2,H,3,0,H,2015-16
Man United,Tottenham,1,0,H,1,0,H,2015-16
Norwich,Crystal Palace,1,3,A,0,1,A,2015-16
Arsenal,West Ham,0,2,A,0,1,A,2015-16
Newcastle,Southampton,2,2,D,1,1,D,2015-16
Stoke,Liverpool,0,1,A,0,0,D,2015-16
West Brom,Man City,0,3,A,0,2,A,2015-16
Aston Villa,Man United,0,1,A,0,1,A,2015-16
Southampton,Everton,0,3,A,0,2,A,2015-16
Sunderland,Norwich,1,3,A,0,2,A,2015-16
Swansea,Newcastle,2,0,H,1,0,H,2015-16
Tottenham,Stoke,2,2,D,2,0,H,2015-16
Watford,West Brom,0,0,D,0,0,D,2015-16
West Ham,Leicester,1,2,A,0,2,A,2015-16
Crystal Palace,Arsenal,1,2,A,1,1,D,2015-16
Man City,Chelsea,3,0,H,1,0,H,2015-16
Liverpool,Bournemouth,1,0,H,1,0,H,2015-16
Crystal Palace,Aston Villa,2,1,H,0,0,D,2015-16
Leicester,Tottenham,1,1,D,0,0,D,2015-16
Man United,Newcastle,0,0,D,0,0,D,2015-16
Norwich,Stoke,1,1,D,1,1,D,2015-16
Sunderland,Swansea,1,1,D,0,1,A,2015-16
West Ham,Bournemouth,3,4,A,0,2,A,2015-16
Everton,Man City,0,2,A,0,0,D,2015-16
Watford,Southampton,0,0,D,0,0,D,2015-16
West Brom,Chelsea,2,3,A,1,3,A,2015-16
Arsenal,Liverpool,0,0,D,0,0,D,2015-16
Aston Villa,Sunderland,2,2,D,2,1,H,2015-16
Bournemouth,Leicester,1,1,D,1,0,H,2015-16
Chelsea,Crystal Palace,1,2,A,0,0,D,2015-16
Liverpool,West Ham,0,3,A,0,2,A,2015-16
Man City,Watford,2,0,H,0,0,D,2015-16
Newcastle,Arsenal,0,1,A,0,0,D,2015-16
Stoke,West Brom,0,1,A,0,1,A,2015-16
Tottenham,Everton,0,0,D,0,0,D,2015-16
Southampton,Norwich,3,0,H,1,0,H,2015-16
Swansea,Man United,2,1,H,0,0,D,2015-16
Arsenal,Stoke,2,0,H,1,0,H,2015-16
Crystal Palace,Man City,0,1,A,0,0,D,2015-16
Everton,Chelsea,3,1,H,2,1,H,2015-16
Man United,Liverpool,3,1,H,0,0,D,2015-16
Norwich,Bournemouth,3,1,H,1,0,H,2015-16
Watford,Swansea,1,0,H,0,0,D,2015-16
West Brom,Southampton,0,0,D,0,0,D,2015-16
Leicester,Aston Villa,3,2,H,0,1,A,2015-16
Sunderland,Tottenham,0,1,A,0,0,D,2015-16
West Ham,Newcastle,2,0,H,1,0,H,2015-16
Aston Villa,West Brom,0,1,A,0,1,A,2015-16
Bournemouth,Sunderland,2,0,H,2,0,H,2015-16
Chelsea,Arsenal,2,0,H,0,0,D,2015-16
Man City,West Ham,1,2,A,1,2,A,2015-16
Newcastle,Watford,1,2,A,0,2,A,2015-16
Stoke,Leicester,2,2,D,2,0,H,2015-16
Swansea,Everton,0,0,D,0,0,D,2015-16
Liverpool,Norwich,1,1,D,0,0,D,2015-16
Southampton,Man United,2,3,A,1,1,D,2015-16
Tottenham,Crystal Palace,1,0,H,0,0,D,2015-16
Leicester,Arsenal,2,5,A,1,2,A,2015-16
Liverpool,Aston Villa,3,2,H,1,0,H,2015-16
Man United,Sunderland,3,0,H,1,0,H,2015-16
Newcastle,Chelsea,2,2,D,1,0,H,2015-16
Southampton,Swansea,3,1,H,1,0,H,2015-16
Stoke,Bournemouth,2,1,H,1,0,H,2015-16
Tottenham,Man City,4,1,H,1,1,D,2015-16
West Ham,Norwich,2,2,D,1,1,D,2015-16
Watford,Crystal Palace,0,1,A,0,0,D,2015-16
West Brom,Everton,2,3,A,1,0,H,2015-16
Aston Villa,Stoke,0,1,A,0,0,D,2015-16
Bournemouth,Watford,1,1,D,1,1,D,2015-16
Chelsea,Southampton,1,3,A,1,1,D,2015-16
Crystal Palace,West Brom,2,0,H,0,0,D,2015-16
Man City,Newcastle,6,1,H,1,1,D,2015-16
Norwich,Leicester,1,2,A,0,1,A,2015-16
Sunderland,West Ham,2,2,D,2,1,H,2015-16
Arsenal,Man United,3,0,H,3,0,H,2015-16
Everton,Liverpool,1,1,D,1,1,D,2015-16
Swansea,Tottenham,2,2,D,2,1,H,2015-16
Chelsea,Aston Villa,2,0,H,1,0,H,2015-16
Crystal Palace,West Ham,1,3,A,1,1,D,2015-16
Everton,Man United,0,3,A,0,2,A,2015-16
Man City,Bournemouth,5,1,H,4,1,H,2015-16
Southampton,Leicester,2,2,D,2,0,H,2015-16
Tottenham,Liverpool,0,0,D,0,0,D,2015-16
Watford,Arsenal,0,3,A,0,0,D,2015-16
West Brom,Sunderland,1,0,H,0,0,D,2015-16
Newcastle,Norwich,6,2,H,3,2,H,2015-16
Swansea,Stoke,0,1,A,0,1,A,2015-16
Arsenal,Everton,2,1,H,2,1,H,2015-16
Aston Villa,Swansea,1,2,A,0,0,D,2015-16
Leicester,Crystal Palace,1,0,H,0,0,D,2015-16
Norwich,West Brom,0,1,A,0,0,D,2015-16
Stoke,Watford,0,2,A,0,1,A,2015-16
West Ham,Chelsea,2,1,H,1,0,H,2015-16
Bournemouth,Tottenham,1,5,A,1,3,A,2015-16
Liverpool,Southampton,1,1,D,0,0,D,2015-16
Man United,Man City,0,0,D,0,0,D,2015-16
Sunderland,Newcastle,3,0,H,1,0,H,2015-16
Chelsea,Liverpool,1,3,A,1,1,D,2015-16
Crystal Palace,Man United,0,0,D,0,0,D,2015-16
Man City,Norwich,2,1,H,0,0,D,2015-16
Newcastle,Stoke,0,0,D,0,0,D,2015-16
Swansea,Arsenal,0,3,A,0,0,D,2015-16
Watford,West Ham,2,0,H,1,0,H,2015-16
West Brom,Leicester,2,3,A,1,0,H,2015-16
Everton,Sunderland,6,2,H,2,1,H,2015-16
Southampton,Bournemouth,2,0,H,2,0,H,2015-16
Tottenham,Aston Villa,3,1,H,2,0,H,2015-16
Bournemouth,Newcastle,0,1,A,0,1,A,2015-16
Leicester,Watford,2,1,H,0,0,D,2015-16
Man United,West Brom,2,0,H,0,0,D,2015-16
Norwich,Swansea,1,0,H,0,0,D,2015-16
Stoke,Chelsea,1,0,H,0,0,D,2015-16
Sunderland,Southampton,0,1,A,0,0,D,2015-16
West Ham,Everton,1,1,D,1,1,D,2015-16
Arsenal,Tottenham,1,1,D,0,1,A,2015-16
Aston Villa,Man City,0,0,D,0,0,D,2015-16
Liverpool,Crystal Palace,1,2,A,1,1,D,2015-16
Chelsea,Norwich,1,0,H,0,0,D,2015-16
Everton,Aston Villa,4,0,H,3,0,H,2015-16
Man City,Liverpool,1,4,A,1,3,A,2015-16
Newcastle,Leicester,0,3,A,0,1,A,2015-16
Southampton,Stoke,0,1,A,0,1,A,2015-16
Swansea,Bournemouth,2,2,D,2,2,D,2015-16
Watford,Man United,1,2,A,0,1,A,2015-16
West Brom,Arsenal,2,1,H,2,1,H,2015-16
Tottenham,West Ham,4,1,H,2,0,H,2015-16
Crystal Palace,Sunderland,0,1,A,0,0,D,2015-16
Aston Villa,Watford,2,3,A,1,1,D,2015-16
Bournemouth,Everton,3,3,D,0,2,A,2015-16
Crystal Palace,Newcastle,5,1,H,3,1,H,2015-16
Leicester,Man United,1,1,D,1,1,D,2015-16
Man City,Southampton,3,1,H,2,0,H,2015-16
Sunderland,Stoke,2,0,H,0,0,D,2015-16
Liverpool,Swansea,1,0,H,0,0,D,2015-16
Norwich,Arsenal,1,1,D,1,1,D,2015-16
Tottenham,Chelsea,0,0,D,0,0,D,2015-16
West Ham,West Brom,1,1,D,1,0,H,2015-16
Arsenal,Sunderland,3,1,H,1,1,D,2015-16
Chelsea,Bournemouth,0,1,A,0,0,D,2015-16
Man United,West Ham,0,0,D,0,0,D,2015-16
Southampton,Aston Villa,1,1,D,0,1,A,2015-16
Stoke,Man City,2,0,H,2,0,H,2015-16
Swansea,Leicester,0,3,A,0,2,A,2015-16
Watford,Norwich,2,0,H,1,0,H,2015-16
West Brom,Tottenham,1,1,D,1,1,D,2015-16
Newcastle,Liverpool,2,0,H,0,0,D,2015-16
Everton,Crystal Palace,1,1,D,0,0,D,2015-16
Bournemouth,Man United,2,1,H,1,1,D,2015-16
Crystal Palace,Southampton,1,0,H,1,0,H,2015-16
Man City,Swansea,2,1,H,1,0,H,2015-16
Norwich,Everton,1,1,D,0,1,A,2015-16
Sunderland,Watford,0,1,A,0,1,A,2015-16
West Ham,Stoke,0,0,D,0,0,D,2015-16
Aston Villa,Arsenal,0,2,A,0,2,A,2015-16
Liverpool,West Brom,2,2,D,1,1,D,2015-16
Tottenham,Newcastle,1,2,A,1,0,H,2015-16
Leicester,Chelsea,2,1,H,1,0,H,2015-16
Chelsea,Sunderland,3,1,H,2,0,H,2015-16
Everton,Leicester,2,3,A,1,1,D,2015-16
Man United,Norwich,1,2,A,0,1,A,2015-16
Newcastle,Aston Villa,1,1,D,1,0,H,2015-16
Southampton,Tottenham,0,2,A,0,2,A,2015-16
Stoke,Crystal Palace,1,2,A,0,1,A,2015-16
West Brom,Bournemouth,1,2,A,0,0,D,2015-16
Swansea,West Ham,0,0,D,0,0,D,2015-16
Watford,Liverpool,3,0,H,2,0,H,2015-16
Arsenal,Man City,2,1,H,2,0,H,2015-16
Aston Villa,West Ham,1,1,D,0,1,A,2015-16
Bournemouth,Crystal Palace,0,0,D,0,0,D,2015-16
Chelsea,Watford,2,2,D,1,1,D,2015-16
Liverpool,Leicester,1,0,H,0,0,D,2015-16
Man City,Sunderland,4,1,H,3,0,H,2015-16
Newcastle,Everton,0,1,A,0,0,D,2015-16
Southampton,Arsenal,4,0,H,1,0,H,2015-16
Stoke,Man United,2,0,H,2,0,H,2015-16
Swansea,West Brom,1,0,H,1,0,H,2015-16
Tottenham,Norwich,3,0,H,2,0,H,2015-16
Arsenal,Bournemouth,2,0,H,1,0,H,2015-16
Crystal Palace,Swansea,0,0,D,0,0,D,2015-16
Everton,Stoke,3,4,A,1,2,A,2015-16
Man United,Chelsea,0,0,D,0,0,D,2015-16
Norwich,Aston Villa,2,0,H,1,0,H,2015-16
Watford,Tottenham,1,2,A,1,1,D,2015-16
West Brom,Newcastle,1,0,H,0,0,D,2015-16
West Ham,Southampton,2,1,H,0,1,A,2015-16
Leicester,Man City,0,0,D,0,0,D,2015-16
Sunderland,Liverpool,0,1,A,0,0,D,2015-16
Arsenal,Newcastle,1,0,H,0,0,D,2015-16
Leicester,Bournemouth,0,0,D,0,0,D,2015-16
Man United,Swansea,2,1,H,0,0,D,2015-16
Norwich,Southampton,1,0,H,0,0,D,2015-16
Sunderland,Aston Villa,3,1,H,1,0,H,2015-16
Watford,Man City,1,2,A,0,0,D,2015-16
West Brom,Stoke,2,1,H,0,0,D,2015-16
West Ham,Liverpool,2,0,H,1,0,H,2015-16
Crystal Palace,Chelsea,0,3,A,0,1,A,2015-16
Everton,Tottenham,1,1,D,1,1,D,2015-16
Aston Villa,Crystal Palace,1,0,H,0,0,D,2015-16
Bournemouth,West Ham,1,3,A,1,0,H,2015-16
Newcastle,Man United,3,3,D,1,2,A,2015-16
Chelsea,West Brom,2,2,D,1,1,D,2015-16
Liverpool,Arsenal,3,3,D,2,2,D,2015-16
Man City,Everton,0,0,D,0,0,D,2015-16
Southampton,Watford,2,0,H,1,0,H,2015-16
Stoke,Norwich,3,1,H,0,0,D,2015-16
Swansea,Sunderland,2,4,A,2,1,H,2015-16
Tottenham,Leicester,0,1,A,0,0,D,2015-16
Aston Villa,Leicester,1,1,D,0,1,A,2015-16
Bournemouth,Norwich,3,0,H,1,0,H,2015-16
Chelsea,Everton,3,3,D,0,0,D,2015-16
Man City,Crystal Palace,4,0,H,2,0,H,2015-16
Newcastle,West Ham,2,1,H,2,0,H,2015-16
Southampton,West Brom,3,0,H,2,0,H,2015-16
Tottenham,Sunderland,4,1,H,1,1,D,2015-16
Liverpool,Man United,0,1,A,0,0,D,2015-16
Stoke,Arsenal,0,0,D,0,0,D,2015-16
Swansea,Watford,1,0,H,1,0,H,2015-16
Crystal Palace,Tottenham,1,3,A,1,0,H,2015-16
Leicester,Stoke,3,0,H,1,0,H,2015-16
Man United,Southampton,0,1,A,0,0,D,2015-16
Norwich,Liverpool,4,5,A,2,1,H,2015-16
Sunderland,Bournemouth,1,1,D,1,1,D,2015-16
Watford,Newcastle,2,1,H,0,0,D,2015-16
West Brom,Aston Villa,0,0,D,0,0,D,2015-16
West Ham,Man City,2,2,D,1,1,D,2015-16
Arsenal,Chelsea,0,1,A,0,1,A,2015-16
Everton,Swansea,1,2,A,1,2,A,2015-16
Arsenal,Southampton,0,0,D,0,0,D,2015-16
Crystal Palace,Bournemouth,1,2,A,1,1,D,2015-16
Leicester,Liverpool,2,0,H,0,0,D,2015-16
Man United,Stoke,3,0,H,2,0,H,2015-16
Norwich,Tottenham,0,3,A,0,2,A,2015-16
Sunderland,Man City,0,1,A,0,1,A,2015-16
West Brom,Swansea,1,1,D,0,0,D,2015-16
West Ham,Aston Villa,2,0,H,0,0,D,2015-16
Everton,Newcastle,3,0,H,1,0,H,2015-16
Watford,Chelsea,0,0,D,0,0,D,2015-16
Aston Villa,Norwich,2,0,H,1,0,H,2015-16
Liverpool,Sunderland,2,2,D,0,0,D,2015-16
Man City,Leicester,1,3,A,0,1,A,2015-16
Newcastle,West Brom,1,0,H,1,0,H,2015-16
Southampton,West Ham,1,0,H,1,0,H,2015-16
Stoke,Everton,0,3,A,0,3,A,2015-16
Swansea,Crystal Palace,1,1,D,1,0,H,2015-16
Tottenham,Watford,1,0,H,0,0,D,2015-16
Bournemouth,Arsenal,0,2,A,0,2,A,2015-16
Chelsea,Man United,1,1,D,0,0,D,2015-16
Bournemouth,Stoke,1,3,A,0,1,A,2015-16
Chelsea,Newcastle,5,1,H,3,0,H,2015-16
Crystal Palace,Watford,1,2,A,1,1,D,2015-16
Everton,West Brom,0,1,A,0,1,A,2015-16
Norwich,West Ham,2,2,D,0,0,D,2015-16
Sunderland,Man United,2,1,H,1,1,D,2015-16
Swansea,Southampton,0,1,A,0,0,D,2015-16
Arsenal,Leicester,2,1,H,0,1,A,2015-16
Aston Villa,Liverpool,0,6,A,0,2,A,2015-16
Man City,Tottenham,1,2,A,0,0,D,2015-16
Leicester,Norwich,1,0,H,0,0,D,2015-16
Southampton,Chelsea,1,2,A,1,0,H,2015-16
Stoke,Aston Villa,2,1,H,0,0,D,2015-16
Watford,Bournemouth,0,0,D,0,0,D,2015-16
West Brom,Crystal Palace,3,2,H,3,0,H,2015-16
West Ham,Sunderland,1,0,H,1,0,H,2015-16
Tottenham,Swansea,2,1,H,0,1,A,2015-16
Man United,Arsenal,3,2,H,2,1,H,2015-16
Aston Villa,Everton,1,3,A,0,2,A,2015-16
Bournemouth,Southampton,2,0,H,1,0,H,2015-16
Leicester,West Brom,2,2,D,2,1,H,2015-16
Norwich,Chelsea,1,2,A,0,2,A,2015-16
Sunderland,Crystal Palace,2,2,D,1,0,H,2015-16
Arsenal,Swansea,1,2,A,1,1,D,2015-16
Liverpool,Man City,3,0,H,2,0,H,2015-16
Man United,Watford,1,0,H,0,0,D,2015-16
Stoke,Newcastle,1,0,H,0,0,D,2015-16
West Ham,Tottenham,1,0,H,1,0,H,2015-16
Chelsea,Stoke,1,1,D,1,0,H,2015-16
Everton,West Ham,2,3,A,1,0,H,2015-16
Man City,Aston Villa,4,0,H,0,0,D,2015-16
Newcastle,Bournemouth,1,3,A,0,1,A,2015-16
Southampton,Sunderland,1,1,D,0,0,D,2015-16
Swansea,Norwich,1,0,H,0,0,D,2015-16
Tottenham,Arsenal,2,2,D,0,1,A,2015-16
Watford,Leicester,0,1,A,0,0,D,2015-16
Crystal Palace,Liverpool,1,2,A,0,0,D,2015-16
West Brom,Man United,1,0,H,0,0,D,2015-16
Bournemouth,Swansea,3,2,H,1,1,D,2015-16
Norwich,Man City,0,0,D,0,0,D,2015-16
Stoke,Southampton,1,2,A,0,2,A,2015-16
Aston Villa,Tottenham,0,2,A,0,1,A,2015-16
Leicester,Newcastle,1,0,H,1,0,H,2015-16
Chelsea,West Ham,2,2,D,1,1,D,2015-16
Crystal Palace,Leicester,0,1,A,0,1,A,2015-16
Everton,Arsenal,0,2,A,0,2,A,2015-16
Swansea,Aston Villa,1,0,H,0,0,D,2015-16
Watford,Stoke,1,2,A,0,1,A,2015-16
West Brom,Norwich,0,1,A,0,0,D,2015-16
Man City,Man United,0,1,A,0,1,A,2015-16
Newcastle,Sunderland,1,1,D,0,1,A,2015-16
Southampton,Liverpool,3,2,H,0,2,A,2015-16
Tottenham,Bournemouth,3,0,H,2,0,H,2015-16
Arsenal,Watford,4,0,H,2,0,H,2015-16
Aston Villa,Chelsea,0,4,A,0,2,A,2015-16
Bournemouth,Man City,0,4,A,0,3,A,2015-16
Liverpool,Tottenham,1,1,D,0,0,D,2015-16
Norwich,Newcastle,3,2,H,1,0,H,2015-16
Stoke,Swansea,2,2,D,1,0,H,2015-16
Sunderland,West Brom,0,0,D,0,0,D,2015-16
West Ham,Crystal Palace,2,2,D,2,1,H,2015-16
Leicester,Southampton,1,0,H,1,0,H,2015-16
Man United,Everton,1,0,H,0,0,D,2015-16
Aston Villa,Bournemouth,1,2,A,0,1,A,2015-16
Crystal Palace,Norwich,1,0,H,0,0,D,2015-16
Man City,West Brom,2,1,H,1,1,D,2015-16
Southampton,Newcastle,3,1,H,2,0,H,2015-16
Swansea,Chelsea,1,0,H,1,0,H,2015-16
Watford,Everton,1,1,D,1,1,D,2015-16
West Ham,Arsenal,3,3,D,2,2,D,2015-16
Liverpool,Stoke,4,1,H,2,1,H,2015-16
Sunderland,Leicester,0,2,A,0,0,D,2015-16
Tottenham,Man United,3,0,H,0,0,D,2015-16
Crystal Palace,Everton,0,0,D,0,0,D,2015-16
Chelsea,Man City,0,3,A,0,1,A,2015-16
Everton,Southampton,1,1,D,0,0,D,2015-16
Man United,Aston Villa,1,0,H,1,0,H,2015-16
Newcastle,Swansea,3,0,H,1,0,H,2015-16
Norwich,Sunderland,0,3,A,0,1,A,2015-16
West Brom,Watford,0,1,A,0,1,A,2015-16
Arsenal,Crystal Palace,1,1,D,1,0,H,2015-16
Bournemouth,Liverpool,1,2,A,0,2,A,2015-16
Leicester,West Ham,2,2,D,1,0,H,2015-16
Stoke,Tottenham,0,4,A,0,1,A,2015-16
Newcastle,Man City,1,1,D,1,1,D,2015-16
Liverpool,Everton,4,0,H,2,0,H,2015-16
Man United,Crystal Palace,2,0,H,1,0,H,2015-16
West Ham,Watford,3,1,H,2,0,H,2015-16
Arsenal,West Brom,2,0,H,2,0,H,2015-16
Aston Villa,Southampton,2,4,A,1,2,A,2015-16
Bournemouth,Chelsea,1,4,A,1,2,A,2015-16
Liverpool,Newcastle,2,2,D,2,0,H,2015-16
Man City,Stoke,4,0,H,2,0,H,2015-16
Leicester,Swansea,4,0,H,2,0,H,2015-16
Sunderland,Arsenal,0,0,D,0,0,D,2015-16
Tottenham,West Brom,1,1,D,1,0,H,2015-16
Arsenal,Norwich,1,0,H,0,0,D,2015-16
Everton,Bournemouth,2,1,H,1,1,D,2015-16
Newcastle,Crystal Palace,1,0,H,0,0,D,2015-16
Stoke,Sunderland,1,1,D,0,0,D,2015-16
Watford,Aston Villa,3,2,H,1,1,D,2015-16
West Brom,West Ham,0,3,A,0,2,A,2015-16
Man United,Leicester,1,1,D,1,1,D,2015-16
Southampton,Man City,4,2,H,2,1,H,2015-16
Swansea,Liverpool,3,1,H,2,0,H,2015-16
Chelsea,Tottenham,2,2,D,0,2,A,2015-16
Aston Villa,Newcastle,0,0,D,0,0,D,2015-16
Bournemouth,West Brom,1,1,D,0,1,A,2015-16
Crystal Palace,Stoke,2,1,H,0,1,A,2015-16
Leicester,Everton,3,1,H,2,0,H,2015-16
Norwich,Man United,0,1,A,0,0,D,2015-16
Sunderland,Chelsea,3,2,H,1,2,A,2015-16
West Ham,Swansea,1,4,A,0,2,A,2015-16
Liverpool,Watford,2,0,H,1,0,H,2015-16
Man City,Arsenal,2,2,D,1,1,D,2015-16
Tottenham,Southampton,1,2,A,1,1,D,2015-16
West Ham,Man United,3,2,H,1,0,H,2015-16
Liverpool,Chelsea,1,1,D,0,1,A,2015-16
Norwich,Watford,4,2,H,3,1,H,2015-16
Sunderland,Everton,3,0,H,2,0,H,2015-16
Arsenal,Aston Villa,4,0,H,1,0,H,2015-16
Chelsea,Leicester,1,1,D,0,0,D,2015-16
Everton,Norwich,3,0,H,2,0,H,2015-16
Newcastle,Tottenham,5,1,H,2,0,H,2015-16
Southampton,Crystal Palace,4,1,H,1,0,H,2015-16
Stoke,West Ham,2,1,H,0,1,A,2015-16
Swansea,Man City,1,1,D,1,1,D,2015-16
Watford,Sunderland,2,2,D,0,1,A,2015-16
West Brom,Liverpool,1,1,D,1,1,D,2015-16
Man United,Bournemouth,3,1,H,1,0,H,2015-16
Burnley,Swansea,0,1,A,0,0,D,2016-17
Crystal Palace,West Brom,0,1,A,0,0,D,2016-17
Everton,Tottenham,1,1,D,1,0,H,2016-17
Hull,Leicester,2,1,H,1,0,H,2016-17
Man City,Sunderland,2,1,H,1,0,H,2016-17
Middlesbrough,Stoke,1,1,D,1,0,H,2016-17
Southampton,Watford,1,1,D,0,1,A,2016-17
Arsenal,Liverpool,3,4,A,1,1,D,2016-17
Bournemouth,Man United,1,3,A,0,1,A,2016-17
Chelsea,West Ham,2,1,H,0,0,D,2016-17
Man United,Southampton,2,0,H,1,0,H,2016-17
Burnley,Liverpool,2,0,H,2,0,H,2016-17
Leicester,Arsenal,0,0,D,0,0,D,2016-17
Stoke,Man City,1,4,A,0,2,A,2016-17
Swansea,Hull,0,2,A,0,0,D,2016-17
Tottenham,Crystal Palace,1,0,H,0,0,D,2016-17
Watford,Chelsea,1,2,A,0,0,D,2016-17
West Brom,Everton,1,2,A,1,1,D,2016-17
Sunderland,Middlesbrough,1,2,A,0,2,A,2016-17
West Ham,Bournemouth,1,0,H,0,0,D,2016-17
Chelsea,Burnley,3,0,H,2,0,H,2016-17
Crystal Palace,Bournemouth,1,1,D,0,1,A,2016-17
Everton,Stoke,1,0,H,0,0,D,2016-17
Hull,Man United,0,1,A,0,0,D,2016-17
Leicester,Swansea,2,1,H,1,0,H,2016-17
Southampton,Sunderland,1,1,D,0,0,D,2016-17
Tottenham,Liverpool,1,1,D,0,1,A,2016-17
Watford,Arsenal,1,3,A,0,3,A,2016-17
Man City,West Ham,3,1,H,2,0,H,2016-17
West Brom,Middlesbrough,0,0,D,0,0,D,2016-17
Arsenal,Southampton,2,1,H,1,1,D,2016-17
Bournemouth,West Brom,1,0,H,0,0,D,2016-17
Burnley,Hull,1,1,D,0,0,D,2016-17
Liverpool,Leicester,4,1,H,2,1,H,2016-17
Man United,Man City,1,2,A,1,2,A,2016-17
Middlesbrough,Crystal Palace,1,2,A,1,1,D,2016-17
Stoke,Tottenham,0,4,A,0,1,A,2016-17
West Ham,Watford,2,4,A,2,2,D,2016-17
Swansea,Chelsea,2,2,D,0,1,A,2016-17
Sunderland,Everton,0,3,A,0,0,D,2016-17
Chelsea,Liverpool,1,2,A,0,2,A,2016-17
Everton,Middlesbrough,3,1,H,3,1,H,2016-17
Hull,Arsenal,1,4,A,0,1,A,2016-17
Leicester,Burnley,3,0,H,1,0,H,2016-17
Man City,Bournemouth,4,0,H,2,0,H,2016-17
West Brom,West Ham,4,2,H,3,0,H,2016-17
Crystal Palace,Stoke,4,1,H,2,0,H,2016-17
Southampton,Swansea,1,0,H,0,0,D,2016-17
Tottenham,Sunderland,1,0,H,0,0,D,2016-17
Watford,Man United,3,1,H,1,0,H,2016-17
Arsenal,Chelsea,3,0,H,3,0,H,2016-17
Bournemouth,Everton,1,0,H,1,0,H,2016-17
Liverpool,Hull,5,1,H,3,0,H,2016-17
Man United,Leicester,4,1,H,4,0,H,2016-17
Middlesbrough,Tottenham,1,2,A,0,2,A,2016-17
Stoke,West Brom,1,1,D,0,0,D,2016-17
Sunderland,Crystal Palace,2,3,A,1,0,H,2016-17
Swansea,Man City,1,3,A,1,1,D,2016-17
West Ham,Southampton,0,3,A,0,1,A,2016-17
Burnley,Watford,2,0,H,1,0,H,2016-17
Everton,Crystal Palace,1,1,D,1,0,H,2016-17
Hull,Chelsea,0,2,A,0,0,D,2016-17
Sunderland,West Brom,1,1,D,0,1,A,2016-17
Swansea,Liverpool,1,2,A,1,0,H,2016-17
Watford,Bournemouth,2,2,D,0,1,A,2016-17
West Ham,Middlesbrough,1,1,D,0,0,D,2016-17
Burnley,Arsenal,0,1,A,0,0,D,2016-17
Leicester,Southampton,0,0,D,0,0,D,2016-17
